"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"000","",World,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","126.103"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"004",AFG,Afghanistan,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","77.123"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"008",ALB,Albania,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","138.571"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"012",DZA,Algeria,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","104.676"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"016",ASM,American Samoa,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","102.579"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"024",AGO,Angola,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","133.885"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"028",ATG,Antigua and Barbuda,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","116.469"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"031",AZE,Azerbaijan,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","107.695"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"032",ARG,Argentina,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","149.183"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"036",AUS,Australia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","123.34"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"040",AUT,Austria,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","126.828"
