payment_id,customer_id,staff_id,rental_id,amount,payment_date
17503,341.0,2.0,1520.0,7.99,2007-02-15 22:25:46.996577
17504,341.0,1.0,1778.0,1.99,2007-02-16 17:23:14.996577
17505,341.0,1.0,1849.0,7.99,2007-02-16 22:41:45.996577
17506,341.0,2.0,2829.0,2.99,2007-02-19 19:39:56.996577
17507,341.0,2.0,3130.0,7.99,2007-02-20 17:31:48.996577
17508,341.0,1.0,3382.0,5.99,2007-02-21 12:33:49.996577
17509,342.0,2.0,2190.0,5.99,2007-02-17 23:58:17.996577
17510,342.0,1.0,2914.0,5.99,2007-02-20 02:11:44.996577
17511,342.0,1.0,3081.0,2.99,2007-02-20 13:57:39.996577
17512,343.0,2.0,1547.0,4.99,2007-02-16 00:10:50.996577
17513,343.0,1.0,1564.0,6.99,2007-02-16 01:15:33.996577
17514,343.0,2.0,1879.0,0.99,2007-02-17 01:26:00.996577
17515,343.0,2.0,1922.0,0.99,2007-02-17 04:32:51.996577
17516,343.0,2.0,2461.0,6.99,2007-02-18 18:26:38.996577
17517,343.0,1.0,2980.0,8.99,2007-02-20 07:03:29.996577
17518,343.0,1.0,3407.0,0.99,2007-02-21 14:42:28.996577
17519,344.0,1.0,1341.0,3.99,2007-02-15 10:54:44.996577
17520,344.0,2.0,1475.0,4.99,2007-02-15 19:36:27.996577
17521,344.0,1.0,1731.0,0.99,2007-02-16 14:00:38.996577
17522,345.0,2.0,1210.0,0.99,2007-02-15 01:26:17.996577
17523,345.0,1.0,1457.0,4.99,2007-02-15 18:34:15.996577
17524,345.0,2.0,1550.0,0.99,2007-02-16 00:27:01.996577
17525,345.0,2.0,2766.0,4.99,2007-02-19 16:13:41.996577
17526,346.0,1.0,1994.0,5.99,2007-02-17 09:35:32.996577
17527,346.0,2.0,3372.0,2.99,2007-02-21 12:02:45.996577
17528,346.0,1.0,3421.0,2.99,2007-02-21 15:51:24.996577
17529,347.0,2.0,1711.0,8.99,2007-02-16 12:40:18.996577
17530,347.0,2.0,2274.0,0.99,2007-02-18 04:59:41.996577
17531,347.0,1.0,3026.0,4.99,2007-02-20 10:16:26.996577
17532,347.0,1.0,3092.0,8.99,2007-02-20 14:33:08.996577
17533,347.0,1.0,3326.0,7.99,2007-02-21 07:33:16.996577
17534,348.0,1.0,1654.0,2.99,2007-02-16 08:11:14.996577
17535,348.0,1.0,2041.0,8.99,2007-02-17 12:47:26.996577
17536,348.0,2.0,2499.0,0.99,2007-02-18 21:30:02.996577
17537,349.0,1.0,1197.0,2.99,2007-02-15 00:11:12.996577
17538,349.0,1.0,1523.0,0.99,2007-02-15 22:47:06.996577
17539,349.0,2.0,2987.0,6.99,2007-02-20 07:24:16.996577
17540,349.0,1.0,3067.0,8.99,2007-02-20 12:27:47.996577
17541,350.0,2.0,2011.0,3.99,2007-02-17 10:24:35.996577
17542,350.0,1.0,2619.0,0.99,2007-02-19 06:31:38.996577
17543,350.0,1.0,3079.0,2.99,2007-02-20 13:42:06.996577
17544,350.0,2.0,3206.0,0.99,2007-02-20 23:08:05.996577
17545,351.0,2.0,1792.0,5.99,2007-02-16 18:33:16.996577
17546,351.0,1.0,1869.0,0.99,2007-02-17 00:36:26.996577
17547,351.0,1.0,2759.0,2.99,2007-02-19 15:38:50.996577
17548,352.0,1.0,1498.0,0.99,2007-02-15 20:26:26.996577
17549,352.0,1.0,1649.0,4.99,2007-02-16 07:48:59.996577
17550,352.0,1.0,1678.0,4.99,2007-02-16 09:36:54.996577
17551,352.0,1.0,1780.0,4.99,2007-02-16 17:40:11.996577
17552,352.0,2.0,3331.0,4.99,2007-02-21 08:06:19.996577
17553,353.0,2.0,1359.0,2.99,2007-02-15 11:58:56.996577
17554,353.0,2.0,1928.0,7.99,2007-02-17 05:16:57.996577
17555,353.0,2.0,3233.0,6.99,2007-02-21 01:07:57.996577
17556,354.0,1.0,1491.0,0.99,2007-02-15 20:16:44.996577
17557,354.0,1.0,2275.0,4.99,2007-02-18 04:59:55.996577
17558,354.0,1.0,2769.0,6.99,2007-02-19 16:20:40.996577
17559,354.0,1.0,3139.0,2.99,2007-02-20 18:13:11.996577
17560,355.0,2.0,1488.0,0.99,2007-02-15 20:08:20.996577
17561,355.0,1.0,1612.0,2.99,2007-02-16 05:20:31.996577
17562,356.0,1.0,1410.0,0.99,2007-02-15 15:28:12.996577
17563,356.0,1.0,2405.0,2.99,2007-02-18 15:05:04.996577
17564,356.0,1.0,2433.0,4.99,2007-02-18 16:38:43.996577
17565,357.0,2.0,1246.0,5.99,2007-02-15 03:39:45.996577
17566,357.0,1.0,1788.0,1.99,2007-02-16 18:15:44.996577
17567,357.0,2.0,1971.0,1.99,2007-02-17 07:52:25.996577
17568,357.0,2.0,2153.0,6.99,2007-02-17 21:26:30.996577
17569,358.0,1.0,1455.0,2.99,2007-02-15 18:19:32.996577
17570,358.0,2.0,1908.0,0.99,2007-02-17 03:39:02.996577
17571,358.0,1.0,2114.0,5.99,2007-02-17 18:28:51.996577
17572,358.0,1.0,2721.0,2.99,2007-02-19 13:21:50.996577
17573,358.0,1.0,2749.0,2.99,2007-02-19 14:56:01.996577
17574,358.0,1.0,3245.0,2.99,2007-02-21 01:34:37.996577
17575,359.0,2.0,1329.0,4.99,2007-02-15 09:53:32.996577
17576,359.0,2.0,1770.0,1.99,2007-02-16 16:36:21.996577
17577,359.0,1.0,2401.0,0.99,2007-02-18 14:50:29.996577
17578,359.0,1.0,2736.0,4.99,2007-02-19 14:11:46.996577
17579,360.0,2.0,1492.0,0.99,2007-02-15 20:17:01.996577
17580,360.0,2.0,2402.0,6.99,2007-02-18 14:53:11.996577
17581,360.0,2.0,2541.0,3.99,2007-02-19 00:36:36.996577
17582,360.0,2.0,2780.0,6.99,2007-02-19 16:47:59.996577
17583,361.0,2.0,2353.0,4.99,2007-02-18 11:21:51.996577
17584,361.0,2.0,2558.0,1.99,2007-02-19 01:37:42.996577
17585,361.0,1.0,2851.0,2.99,2007-02-19 21:35:29.996577
17586,361.0,2.0,3303.0,2.99,2007-02-21 06:02:40.996577
17587,362.0,1.0,1429.0,2.99,2007-02-15 16:52:36.996577
17588,362.0,1.0,1529.0,2.99,2007-02-15 23:06:01.996577
17589,362.0,1.0,1615.0,2.99,2007-02-16 05:28:54.996577
17590,362.0,2.0,3197.0,2.99,2007-02-20 22:35:49.996577
17591,362.0,2.0,3393.0,2.99,2007-02-21 13:42:53.996577
17592,363.0,2.0,1426.0,4.99,2007-02-15 16:44:50.996577
17593,363.0,2.0,1569.0,4.99,2007-02-16 01:47:35.996577
17594,363.0,1.0,1847.0,4.99,2007-02-16 22:33:48.996577
17595,363.0,1.0,2540.0,4.99,2007-02-19 00:33:14.996577
17596,363.0,2.0,3281.0,2.99,2007-02-21 04:37:13.996577
17597,364.0,1.0,1722.0,2.99,2007-02-16 13:41:18.996577
17598,364.0,2.0,2442.0,2.99,2007-02-18 17:17:44.996577
17599,364.0,2.0,2606.0,4.99,2007-02-19 05:19:58.996577
17600,364.0,2.0,2857.0,4.99,2007-02-19 21:43:41.996577
17601,364.0,2.0,2962.0,3.99,2007-02-20 06:00:21.996577
17602,365.0,1.0,1303.0,1.99,2007-02-15 08:24:23.996577
17603,365.0,1.0,1578.0,6.99,2007-02-16 02:36:42.996577
17604,365.0,1.0,1983.0,4.99,2007-02-17 08:50:39.996577
17605,365.0,1.0,2525.0,2.99,2007-02-18 23:16:48.996577
17606,365.0,2.0,3156.0,0.99,2007-02-20 19:32:12.996577
17607,366.0,2.0,1401.0,1.99,2007-02-15 14:58:48.996577
17608,366.0,2.0,2214.0,0.99,2007-02-18 01:13:03.996577
17609,367.0,1.0,3078.0,0.99,2007-02-20 13:38:14.996577
17610,368.0,1.0,1186.0,0.99,2007-02-14 23:25:11.996577
17611,368.0,1.0,1513.0,9.99,2007-02-15 21:21:56.996577
17612,368.0,1.0,2531.0,4.99,2007-02-18 23:49:15.996577
17613,368.0,1.0,2694.0,4.99,2007-02-19 11:45:47.996577
17614,368.0,1.0,2744.0,4.99,2007-02-19 14:49:06.996577
17615,368.0,2.0,3275.0,4.99,2007-02-21 04:01:30.996577
17616,369.0,1.0,1224.0,0.99,2007-02-15 02:12:51.996577
17617,370.0,2.0,1190.0,6.99,2007-02-14 23:33:58.996577
17618,371.0,2.0,1212.0,2.99,2007-02-15 01:31:59.996577
17619,371.0,1.0,1218.0,1.99,2007-02-15 01:53:10.996577
17620,371.0,1.0,1573.0,6.99,2007-02-16 02:00:05.996577
17621,371.0,2.0,1675.0,5.99,2007-02-16 09:33:13.996577
17622,371.0,2.0,2837.0,0.99,2007-02-19 20:32:16.996577
17623,371.0,1.0,3176.0,3.99,2007-02-20 21:00:20.996577
17624,371.0,2.0,3396.0,0.99,2007-02-21 13:51:34.996577
17625,372.0,1.0,2315.0,2.99,2007-02-18 07:32:05.996577
17626,372.0,1.0,2959.0,4.99,2007-02-20 05:36:20.996577
17627,372.0,1.0,3283.0,3.99,2007-02-21 04:47:33.996577
17628,373.0,1.0,1472.0,6.99,2007-02-15 19:23:21.996577
17629,373.0,1.0,3161.0,2.99,2007-02-20 19:49:27.996577
17630,374.0,1.0,1548.0,1.99,2007-02-16 00:11:59.996577
17631,374.0,2.0,2046.0,1.99,2007-02-17 13:08:16.996577
17632,374.0,2.0,2487.0,4.99,2007-02-18 20:01:20.996577
17633,374.0,2.0,2641.0,2.99,2007-02-19 08:06:59.996577
17634,375.0,2.0,1404.0,2.99,2007-02-15 15:07:19.996577
17635,375.0,1.0,1499.0,5.99,2007-02-15 20:26:33.996577
17636,375.0,1.0,2236.0,4.99,2007-02-18 02:40:59.996577
17637,376.0,2.0,1208.0,0.99,2007-02-15 00:58:29.996577
17638,376.0,1.0,2779.0,0.99,2007-02-19 16:47:33.996577
17639,377.0,2.0,2556.0,3.99,2007-02-19 01:35:58.996577
17640,377.0,1.0,3080.0,1.99,2007-02-20 13:50:58.996577
17641,377.0,2.0,3086.0,0.99,2007-02-20 14:11:06.996577
17642,377.0,2.0,3136.0,2.99,2007-02-20 18:07:34.996577
17643,377.0,2.0,3443.0,4.99,2007-02-21 18:47:26.996577
17644,378.0,2.0,1623.0,4.99,2007-02-16 06:17:16.996577
17645,378.0,1.0,1662.0,5.99,2007-02-16 08:42:01.996577
